baseline,seed,round,split,accuracy,precision,recall,f1,roc_auc,loss,runtime_s
fedprox_dp,42,3,val,0.30314644799001694,0.14347343769259213,0.14590122837803962,0.14467714871667392,0.5392578925580916,0.6197783410395091,597.1878168999974
fedprox_dp,42,4,val,0.4407701221142704,0.19642342082492067,0.08535973928302833,0.11900393184796854,0.5501898742991386,0.5781090241700891,794.7141733000026
fedprox_dp,42,5,val,0.5158213744540512,0.21403197158081705,0.030208072198546,0.05294376098418278,0.569189728708699,0.5123068797512906,992.7705414000011
fedprox_dp,42,6,val,0.5389072109813708,0.2692307692307692,0.005264477312609677,0.010327022375215149,0.573148445421445,0.4118089068620236,1191.7174085000006
fedprox_dp,42,7,val,0.5402442285408682,0.2153846153846154,0.0017548257708698922,0.003481288076588338,0.5792482982588228,0.32597381178044266,1391.3344018999996
fedprox_dp,42,8,val,0.541135573580533,0.2857142857142857,0.001002757583354224,0.0019985011241568824,0.5876080991334219,0.26170526365086677,1588.5262741999977
fedprox_dp,42,9,val,0.5407790355646671,0.34,0.0021308598646277263,0.004235176880916791,0.5914523043682314,0.23047526317682376,1786.8170161000016
fedprox_dp,42,10,val,0.5404224975488011,0.36363636363636365,0.0035096515417397845,0.006952203600248293,0.5966633231173676,0.21662266258117466,1989.183268300003
centralized,123,1,val,0.38078260094482574,0.17317812151172063,0.13612434194033593,0.1524317495964629,0.5465232978426665,0.610391318303972,188.24387549999665
centralized,123,2,val,0.5408681700686335,0.21951219512195122,0.001128102281273502,0.002244668911335578,0.5717134346910573,0.3861840136341896,376.7177112999998
centralized,123,3,val,0.5418486496122649,0.0,0.0,0.0,0.5975403225952636,0.22450228560224808,564.5039829999951
centralized,123,4,val,0.5418486496122649,0.3333333333333333,0.000125344697919278,0.00025059516351334414,0.6140918571032256,0.20286572215146736,751.6135605999953
centralized,123,5,val,0.5418486496122649,0.3793103448275862,0.0013787916771120581,0.0027475958536280756,0.6259812904501595,0.200488608233197,940.1864920999942
centralized,123,6,val,0.5414029770924325,0.4230769230769231,0.004136375031336174,0.008192651439920555,0.634396623523777,0.19653842353743234,1128.0128803999978
centralized,123,7,val,0.5404224975488011,0.41089108910891087,0.010403609927300075,0.020293398533007333,0.6373023284729528,0.19646473764464736,1365.1121184999938
centralized,123,8,val,0.5374810589179071,0.37857142857142856,0.019929806969165204,0.037866158609192666,0.6447149068817531,0.1973536806128775,1556.062989099999
centralized,123,9,val,0.5357875033425439,0.3720508166969147,0.02569566307345199,0.04807128620002344,0.6451167629354169,0.19592760255581365,1739.8447159999996
